period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
32,2,detrended,-0.0037586072138498044,0.003804894629213203,0.003842458029593808,-0.8381694086885064,0.8484915023145442,0.8568681405994192,5,sample_ddof1; count=1 written as 0; empty=nan
32,3,detrended,-0.0017129968485300388,0.002525027446810284,0.003035580372944514,-0.38199829722219864,0.5630811206386934,0.6769344231666267,5,sample_ddof1; count=1 written as 0; empty=nan
32,4,detrended,0.0003991293201268245,0.0016362015114760764,0.0025064482869051677,0.08900583838828184,0.364872937059165,0.5589379679798524,5,sample_ddof1; count=1 written as 0; empty=nan
32,5,detrended,3.006611862835344e-05,0.0019027970306515038,0.002604348300031274,0.006704744454122835,0.4243237378352854,0.5807696709069742,5,sample_ddof1; count=1 written as 0; empty=nan
32,6,detrended,0.0016794426868747547,0.0017809988653683946,0.002323086986043149,0.3745157191730703,0.39716274697715204,0.5180483978876221,5,sample_ddof1; count=1 written as 0; empty=nan
32,7,detrended,0.0015674066345767236,0.001743251493255886,0.0023797136400466384,0.34953167951060937,0.3887450829960626,0.5306761417304003,5,sample_ddof1; count=1 written as 0; empty=nan
32,8,detrended,0.003180850542720281,0.003180850542720281,0.002203978598457835,0.7093296710266226,0.7093296710266226,0.4914872274560972,5,sample_ddof1; count=1 written as 0; empty=nan
32,9,detrended,0.0024737485390748976,0.0024737485390748976,0.0022299339250745113,0.5516459242137022,0.5516459242137022,0.497275265291616,5,sample_ddof1; count=1 written as 0; empty=nan
32,10,detrended,0.0017369038176865952,0.0021122838320798,0.0024152832687877935,0.38732955134411073,0.47103929455379545,0.538608168939678,5,sample_ddof1; count=1 written as 0; empty=nan
32,11,detrended,0.0034461294097519663,0.0034461294097519663,0.0022955207719133983,0.7684868583746886,0.7684868583746886,0.5119011321366879,5,sample_ddof1; count=1 written as 0; empty=nan
32,12,detrended,0.005703556801210039,0.005703556801210039,0.002695768067283635,1.2718931666698388,1.2718931666698388,0.6011562790042507,5,sample_ddof1; count=1 written as 0; empty=nan
